TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.1,"urn:cite:hmt:vaimg.VA100VN-0603@0.4064,0.435,0.4865,0.0631"
urn:cts:greekLit:tlg0012.tlg001.msA:8.2,"urn:cite:hmt:vaimg.VA100VN-0603@0.4665,0.4628,0.4184,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.3,"urn:cite:hmt:vaimg.VA100VN-0603@0.4535,0.4823,0.4344,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.4,"urn:cite:hmt:vaimg.VA100VN-0603@0.4695,0.4989,0.4174,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.5,"urn:cite:hmt:vaimg.VA100VN-0603@0.4695,0.5192,0.4174,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.7,"urn:cite:hmt:vaimg.VA100VN-0603@0.4685,0.5402,0.4174,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.8,"urn:cite:hmt:vaimg.VA100VN-0603@0.4695,0.5575,0.4244,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.9,"urn:cite:hmt:vaimg.VA100VN-0603@0.4715,0.5778,0.4114,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.10,"urn:cite:hmt:vaimg.VA100VN-0603@0.4715,0.5973,0.4204,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:8.11,"urn:cite:hmt:vaimg.VA100VN-0603@0.4715,0.6146,0.4144,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.12,"urn:cite:hmt:vaimg.VA100VN-0603@0.4655,0.6319,0.4364,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.13,"urn:cite:hmt:vaimg.VA100VN-0603@0.4715,0.6514,0.4084,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.14,"urn:cite:hmt:vaimg.VA100VN-0603@0.4695,0.6642,0.4464,0.0413"
urn:cts:greekLit:tlg0012.tlg001.msA:8.15,"urn:cite:hmt:vaimg.VA100VN-0603@0.4665,0.6912,0.4274,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.16,"urn:cite:hmt:vaimg.VA101RN-0102@0.178,0.2532,0.425,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.17,"urn:cite:hmt:vaimg.VA101RN-0102@0.174,0.275,0.443,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.18,"urn:cite:hmt:vaimg.VA101RN-0102@0.177,0.2938,0.396,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.19,"urn:cite:hmt:vaimg.VA101RN-0102@0.178,0.3088,0.42,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.20,"urn:cite:hmt:vaimg.VA101RN-0102@0.169,0.3291,0.427,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.21,"urn:cite:hmt:vaimg.VA101RN-0102@0.176,0.3449,0.413,0.0346"
